Breed,Breed Group AKC,Breed Group CKC,Breed Group UKC,CKC Subgroup,height_low_inches,height_high_inches,average height,weight_low_lbs,weight_high_lbs,average weight,Lifespan Low,Lifespan High,average lifespan,Details,Alternate Names,FCI Classification,FCI Classification_2,AKC Breed Popularity Rank (of 197),Geographic Origin
Affenpinscher,Toy Group,Group 5: Pinschers and Schnauzers ,Companion Dog ,5-B: Small Pinschers and Schnauzers ,9,12,10.5,8,12,10,12,15,13.5,,,Group 2 Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs,,,
Afghan Hound,Hound Group,Group 8: Sighthound Breeds ,Sighthound & Pariah,8-B: Long Haired Sighthounds,25,27,26,50,60,55,12,15,13.5,,,Group 10 Sighthounds,,,
Aidi,Not Recognized,Not Recognized,Guardian Dog,Not Recognized,20,24.5,22.25,50,55,52.5,12,13,12.5,,Atlas Mountain Dog,Group 2 Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs,,,
Airedale Terrier,Terrier Group,Group 6: Terrier Breeds ,Terrier,6-A: Large Terriers,22,24,23,45,45,45,11,14,12.5,,,,,,
Akbash Dog,Not Recognized,Group 9: Large Guardian Pastoral/Mountain Dogs ,Guardian Dog,None,27,34,30.5,75,140,107.5,9,11,10,Possesses a unique combination of Mastiff and gazehound characteristics (UKC).,"Akbas, Akbas Coban Kopegi, Akbas Dog",,,,Turkey
Akita,Working Group,Group 2: Spitz and Nordic Breeds,Northern,2-C: Asian Spitz Breeds,26,28,27,80,120,100,10,13,11.5,,,,,,
Alaskan Husky,Not Recognized,Not Recognized,Not Recognized,Not Recognized,23,26,24.5,35,60,47.5,10,15,12.5,"The Alaskan Husky is not considered a ""purebred"" dog like the Siberian Husky. Alaskan huskies are bred for speed, primarily for dog sledding. Their genetic makeup generally includes a mix of Northern breeds including the Siberian Husky, Greyhound, and German Shorthaired Pointer.",,Not Recognized,,,
Alaskan Klee Kai,Foundation Stock Service,Group 2: Spitz and Nordic Breeds,Northern,None,16,18,17,16,23,19.5,13,16,14.5,,,,,,
Alaskan Malamute,Working Group,Group 2: Spitz and Nordic Breeds,Northern,2-D: Nordic Sled Dogs ,23,28,25.5,75,124,99.5,10,14,12,,,,,,
American Bulldog,Foundation Stock Service,Group 4: Bull Breeds ,Guardian Dog ,4-A: Bulldogs ,20,27,23.5,60,125,92.5,10,12,11,,,,,,
